	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
408	Eucrossorhinus dasypogon			NT												LC								
409	Euprotomicroides zantedeschia				DD		DD			DD										LC				
410	Euprotomicrus bispinatus						LC									LC								
411	Eusphyra blochii			NT													EN							
412	Fenestraja atripinna									DD														
413	Fenestraja cubensis									DD														
414	Fenestraja ishiyamai									DD														
415	Fenestraja maceachrani									DD										DD				
416	Fenestraja mamillidens									DD														
417	Fenestraja plutonia									DD														
418	Fenestraja sibogae									DD														
419	Fenestraja sinusmexicanus									DD														
420	Figaro boardmani			LC													LC							
421	Figaro striatus			DD													DD							
422	Fluvitrygon kittipongi									EN							EN							
423	Fluvitrygon oxyrhyncha					EN											EN							
424	Fluvitrygon signifer					EN											EN							
425	Fontitrygon colarensis						VU										VU							
426	Fontitrygon garouaensis					VU											VU							
427	Fontitrygon geijskesi						NT										NT							
428	Fontitrygon margarita									EN							EN							
429	Fontitrygon margaritella									DD							DD							
430	Fontitrygon ukpam									EN							EN							
431	Furgaleus macki			LC													LC							
432	Galeocerdo cuvier									NT										NT				
433	Galeorhinus galeus						VU																	
434	Galeus antillensis									DD														
435	Galeus arae									LC														
436	Galeus atlanticus							NT																
437	Galeus cadenati									DD														
438	Galeus eastmani									LC														
439	Galeus gracilis			DD													DD							
440	Galeus longirostris									DD														
441	Galeus melastomus									LC														
442	Galeus mincaronei				VU																			
443	Galeus murinus									LC						LC								
444	Galeus nipponensis									DD														
445	Galeus piperatus						LC																	
446	Galeus polli				LC																			
447	Galeus priapus											LC							LC					
448	Galeus sauteri									DD														
449	Galeus schultzi									DD														
450	Galeus springeri									DD														
451	Ginglymostoma cirratum						NT																	
452	Glaucostegus cemiculus																			CR				
453	Glaucostegus granulatus						VU										VU			CR				
454	Glaucostegus halavi									DD							DD	VU		CR				
455	Glaucostegus obtusus						VU										VU			CR				
456	Glaucostegus thouin						VU										VU			CR				
457	Glaucostegus typus																			CR				
458	Glyphis gangeticus							CR																
459	Glyphis garricki			CR																				
460	Glyphis glyphis									EN														
461	Glyphis siamensis									CR														
462	Gogolia filewoodi			DD																				
463	Gollum attenuatus			LC															LC					
464	Gurgesiella atlantica							DD																
465	Gurgesiella dorsalifera				VU																			
466	Gurgesiella furvescens				LC																			
467	Gymnura altavela							VU																
468	Gymnura australis									LC						LC								
469	Gymnura crebripunctata												DD											
470	Gymnura japonica									DD														
471	Gymnura marmorata												LC											
472	Gymnura micrura						DD																	
473	Gymnura natalensis						DD													LC				
474	Gymnura poecilura						NT																	
475	Gymnura tentaculata									DD														
476	Gymnura zonura						VU																	
477	Halaelurus boesemani									DD								VU						
478	Halaelurus buergeri									DD														
479	Halaelurus lineatus				DD															LC				
480	Halaelurus maculosus									LC														
481	Halaelurus natalensis				DD																			
482	Halaelurus quagga									DD								DD						
483	Halaelurus sellus			LC						LC							LC							
484	Haploblepharus edwardsii									NT														
485	Haploblepharus fuscus									VU														
486	Haploblepharus kistnasamyi									CR										VU				
487	Haploblepharus pictus									LC										LC				
488	Harriotta haeckeli						DD									LC								
489	Harriotta raleighana						LC										LC							
490	Hemigaleus australiensis									LC							LC							
491	Hemigaleus microstoma			LC						VU														
492	Hemipristis elongata			VU													VU							
493	Hemiscyllium freycineti											NT												
494	Hemiscyllium galei												DD											
495	Hemiscyllium hallstromi			VU													VU							
496	Hemiscyllium henryi												DD											
497	Hemiscyllium michaeli												NT											
498	Hemiscyllium ocellatum			NT												LC								
499	Hemiscyllium strahani			VU																				
500	Hemiscyllium trispeculare			LC												LC								
501	Hemitriakis abdita			DD													DD							
502	Hemitriakis complicofasciata									DD														
503	Hemitriakis falcata			LC													LC							
504	Hemitriakis japanica									LC														
505	Hemitriakis leucoperiptera						EN																	
506	Hemitrygon akajei						NT										NT							
507	Hemitrygon bennetti									DD							DD							
508	Hemitrygon fluviorum			VU													VU							
509	Hemitrygon izuensis						NT										NT							
510	Hemitrygon laevigata									NT							NT							
511	Hemitrygon laosensis					EN						EN					EN							
512	Hemitrygon navarrae									DD							DD							
513	Hemitrygon parvonigra											DD				DD	DD							
514	Hemitrygon sinensis									DD							DD							
515	Heptranchias perlo			NT																				
516	Heterodontus francisci						DD									DD								
517	Heterodontus galeatus			LC													LC							
518	Heterodontus japonicus									LC														
519	Heterodontus mexicanus						DD																	
520	Heterodontus omanensis									DD								DD						
521	Heterodontus portusjacksoni					LC										LC								
522	Heterodontus quoyi				DD																			
523	Heterodontus ramalheira				DD															DD				
524	Heterodontus zebra			LC																				
525	Heteronarce bentuviai									DD								DD						
526	Heteronarce garmani									VU														
527	Heteronarce mollis									DD								DD						
528	Heteronarce prabhui									DD														
529	Heteroscymnoides marleyi						LC													LC				
530	Hexanchus griseus									NT														
531	Hexanchus nakamurai									DD														
532	Hexatrygon bickelli									LC						LC								
533	Himantura leoparda												VU				VU							
534	Himantura uarnak									VU							VU							
535	Himantura undulata									VU			VU											
536	Holohalaelurus favus									EN														
537	Holohalaelurus grennian									DD										DD				
538	Holohalaelurus melanostigma						DD													LC				
539	Holohalaelurus punctatus									EN														
540	Holohalaelurus regani									LC														
541	Hongeo koreana									DD														
542	Hydrolagus affinis							LC																
543	Hydrolagus africanus						DD																	
544	Hydrolagus alberti						DD																	
545	Hydrolagus alphus									DD														
546	Hydrolagus barbouri						DD																	
547	Hydrolagus bemisi			LC															LC					
548	Hydrolagus colliei						LC									LC								
549	Hydrolagus homonycteris											DD				LC								
550	Hydrolagus lemures						LC										LC							
551	Hydrolagus lusitanicus									DD						LC								
552	Hydrolagus macrophthalmus						DD																	
553	Hydrolagus marmoratus											DD				LC								
554	Hydrolagus matallanasi							DD																
555	Hydrolagus mccoskeri							DD																
556	Hydrolagus melanophasma											LC												
557	Hydrolagus mirabilis							NT																
558	Hydrolagus mitsukurii						DD																	
559	Hydrolagus novaezealandiae			LC															LC					
560	Hydrolagus ogilbyi						NT										VU							
561	Hydrolagus pallidus							LC																
562	Hydrolagus purpurescens						DD									DD								
563	Hydrolagus trolli						DD									LC								
564	Hypanus americanus						DD										DD							
565	Hypanus dipterurus						DD										DD							
566	Hypanus guttatus				DD												DD							
