species	2015	2009	2000	1996	2019	1994	1990	2018	2007	2006	2013	2016	2005	2003	2002	2004	2017	2011	2012	2010
Neoraja iberica	LC	DD																		
Centrophorus atromarginatus		DD																		
Potamotrygon magdalenae		NT										LC								
Bathytoshia lata		LC										LC								
Bathyraja ishiharai	DD	DD																		
Etmopterus spinax		LC																		
Insentiraja laxipella	DD	DD																		
Bathyraja murrayi		NT																		
Amblyraja taaf		DD																		
Dipturus gigas		DD																		
Urotrygon simulatrix		VU																		
Triakis scyllium		LC																		
Aetomylaeus asperrimus		DD										DD								
Torpedo torpedo		DD																		
Galeus melastomus		LC																		
Scyliorhinus canicula		LC																		
Dipturus kwangtungensis		DD																		
Bathyraja interrupta		LC										LC								
Somniosus pacificus		DD																		
Squalus montalbani		VU			VU															
Rhinobatos holcorhynchus		DD			DD															
Galeus sauteri		DD																		
Etmopterus molleri	DD	LC																		
Glaucostegus halavi		DD			CR							DD					VU			
Rhinobatos irvinei		VU																		
Squalus hemipinnis		NT																		
Torpedo mackayana		DD																		
Scyliorhinus tokubee		DD																		
Isistius labialis		DD																		
Brochiraja leviveneta		DD						DD												
Breviraja mouldi		DD																		
Breviraja claramaculata		DD																		
Centrophorus seychellorum		DD			LC															
Leucoraja erinacea		NT																		
Leucoraja garmani		LC																		
Brochiraja spinifera		DD						DD												
Okamejei heemstrai		DD			LC															
Breviraja nigriventralis		DD																		
Narcine vermiculatus		NT																		
Bathyraja matsubarai		DD																		
Raja undulata		EN																		
Chiloscyllium arabicum		NT															NT			
Dipturus bullisi		DD																		
Electrolux addisoni		CR			LC															
Scyliorhinus comoroensis		DD			DD															
Bathyraja lindbergi	LC	LC																		
Urogymnus granulatus		NT										VU								
Somniosus rostratus		DD																		
Squalus japonicus		DD																		
Atelomycterus marnkalha	DD	DD																		
Scyliorhinus torazame		LC																		
Myliobatis goodei		DD																		
Pentanchus profundicolus		DD																		
Squalus brevirostris		DD																		
Mobula kuhlii		DD																		
Pseudoraja fischeri		DD																		
Etmopterus villosus		LC																		
Centrophorus lusitanicus		VU																		
Etmopterus pusillus		LC																		
Bathyraja tzinovskii		LC																		
Narcine timlei		DD																		
Rostroraja ackleyi		DD																		
Rhinobatos punctifer		DD															NT			
Etmopterus splendidus		DD																		
Scyliorhinus torrei		LC																		
Parmaturus lanatus		DD																		
Mustelus albipinnis		DD																		
Amblyraja badia		LC										LC								
Dasyatis pastinaca		DD																		
Bathyraja isotrachys		LC																		
Cephalurus cephalus		DD																		
Squatina formosa		EN																		
Pseudobatos glaucostigmus		DD										DD								
Scyliorhinus garmani		DD																		
Raja maderensis	VU	DD																		
Galeus cadenati		DD																		
Leucoraja fullonica	VU	NT																		
Bathyraja diplotaenia		LC																		
Rhinoptera marginata		NT																		
Leucoraja circularis	EN	VU																		
Pastinachus solocirostris		EN																		
Raja inornata		DD										LC								
Potamotrygon signata		DD																		
Eridacnis radcliffei		LC			LC															
Squalus raoulensis		DD						LC										LC		
Apristurus indicus		DD															LC			
Bathyraja parmifera	LC	LC																		
Galeus longirostris		DD																		
Hydrolagus lusitanicus	LC	DD																		
Acroteriobatus variegatus		DD										DD					CR			
Malacoraja senta		EN																		
Rhinobatos annandalei		DD																		
Galeus arae		LC																		
Mustelus mosis		DD			NT															
Schroederobatis americana		DD																		
Hongeo koreana		DD																		
Scyliorhinus stellaris		NT																		
Mustelus punctulatus		DD																		
Bathyraja spinosissima	LC	LC																		
Okamejei meerdervoortii		DD																		
Halaelurus boesemani		DD															VU			
Dentiraja lemprieri	LC	LC																		
Amblyraja georgiana		DD																		
Amblyraja jenseni		LC																		
Leucoraja wallacei		LC																		
Okamejei philipi		DD																		
Springeria longirostris		DD																		
Fontitrygon margarita		EN										EN								
Spiniraja whitleyi		VU																		
Parmaturus melanobranchus		DD																		
Galeus springeri		DD																		
Ctenacis fehlmanni		DD															LC			
Brochiraja microspinifera		DD						DD												
Iago omanensis		LC																		
Fenestraja maceachrani		DD			DD															
Bathyraja tunae		DD			LC															
Maculabatis toshi	LC	LC										LC							LC	
Paragaleus randalli		NT																		
